system,domain,seeds,documents,precision_percent,recall_percent,f1_percent,f1_sd_percent
ET-ATT-TRT,Overall,42/52/62,533,32.27638888704539,31.581581581581577,31.883920994215263,0.3938308010505767
ET-ATT-TRT,PMC,42/52/62,126,40.68973626745413,32.98611111111111,36.3868240266897,0.36046320080308814
L70B-TA,IEEE,0,205,15.52734375,33.90191897654584,21.299397186872067,
L70B-TA,LIS,0,202,14.172447968285432,29.853862212943632,19.22043010752688,
L70B-TA,Overall,0,533,15.80923770184003,31.606606606606608,21.076345431789736,
L70B-TA,PMC,0,126,18.88888888888889,30.989583333333332,23.471400394477318,
Q9B-TA,IEEE,0,205,11.670480549199084,21.748400852878465,15.18987341772152,
Q9B-TA,LIS,0,202,9.0,18.789144050104383,12.170385395537526,
Q9B-TA,Overall,0,533,11.518324607329843,21.47147147147147,14.993446920052426,
Q9B-TA,PMC,0,126,15.435139573070607,24.479166666666664,18.932527693856997,
TEXT,IEEE,42/52/62,205,24.63040086712712,23.88059701492537,24.231246956035875,3.2680348903427796
TEXT,LIS,42/52/62,202,36.930420409026425,31.802366040361864,34.13330976826001,0.9436133433117811
TEXT,Overall,42/52/62,533,32.961719237541196,29.254254254254253,30.981336929474793,1.2322202882825053
TEXT,PMC,42/52/62,126,39.625559625559625,32.63888888888889,35.69970028701629,2.484027534976443
